created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Nov 15 23:00:51 +0000 2023;1724925458737668377;"@ShamsiAli2 Sepertinya, Cak Imin lebih pas yang jadi capres, 🤔";0;0;0;0;in;1442083200507936772;1724906516954620144;Ngadinopanser;https://twitter.com/Ngadinopanser/status/1724925458737668377
Wed Nov 15 22:59:23 +0000 2023;1724925087789572127;"@cakimiNOW Jadi jangan pada kaya orang tolol anggap cak Imin sayap kanan, kita boleh nolak LGBT, tapi jangan persekusi orang yg murni buat nonton konser nya doang.";0;0;0;0;in;1693415071161163776;1724833986994999722;dariwongcilik;https://twitter.com/dariwongcilik/status/1724925087789572127
Wed Nov 15 22:51:58 +0000 2023;1724923224675189198;"@EngeeEng @GunRomli Masalah bbm gratis sama ibu hamil dapet uang program cak imin bener ga tuhh";0;0;0;0;in;1679776987114803207;1724708608422879560;TobaB50599;https://twitter.com/TobaB50599/status/1724923224675189198
Wed Nov 15 22:50:25 +0000 2023;1724922832868766114;"@DPP_PKB @aniesbaswedan @cakimiNOW Cak Imin Top,  AMIN Pasangan Yang Sangat Ideal Untuk Indonesia Yang Lebih Adil Dan Makmur.";0;0;0;0;in;1682027677568610304;1724747590666006836;hamasmasbait;https://twitter.com/hamasmasbait/status/1724922832868766114
Wed Nov 15 22:49:32 +0000 2023;1724922611409322109;"@NNurdasrudin @cakimiNOW Keren juga sih cak imin nonton..akan ada cerita dan sejarah nanti ke depan krn beliau mau gratiskan itu konser ntar klo jadi plesiden";0;0;0;0;in;1618339033129811970;1724835658542489997;WulanNaya8889;https://twitter.com/WulanNaya8889/status/1724922611409322109
Wed Nov 15 22:49:17 +0000 2023;1724922547374830045;"@abu_waras iya aga heran kemaren pas pemberian sambutan, kenapa cak imin yang memberikan sambutan, sementara paslon-paslon lainnya capresnya yang memberikan sambutan, ternyata ini alasannya, hebat pa anies👏";0;0;0;10;in;1682179938491973632;1724915276465291768;yoyooooyyyyy;https://twitter.com/yoyooooyyyyy/status/1724922547374830045
Wed Nov 15 22:39:22 +0000 2023;1724920052938412320;"@hasyimmah Pidato Capres-cawapres,   Cak Imin :   Ke Mamuju jangan lupa pakai sepatu, kalau ingin maju pilihlah nomor SATU!  Pak Prabowo :   Siapapun pemenangnya, kita harus ber-SATU!  Pak Ganjar :   Kita SATU-kan semuanya dalam proses politik yang menggembirakan..";0;3;3;36;in;82501579;1724714705644839047;jumadisubur;https://twitter.com/jumadisubur/status/1724920052938412320
Wed Nov 15 22:37:57 +0000 2023;1724919693612355789;"@DPP_PKB @cakimiNOW @aniesbaswedan Mantap Cak Imin semoga menang 2024";0;0;0;0;in;950232439867154434;1724746192821850207;ErieL65382635;https://twitter.com/ErieL65382635/status/1724919693612355789
Wed Nov 15 22:37:25 +0000 2023;1724919560057635218;"@BosPurwa Pasangan Nomor 1 AMIN , sengaja yg pidato Cawapres Cak Imin agar Cawapres Mahfud juga yg pidato, dan Cawapres Nomor 2 juga yg tidak melongo";0;0;0;0;in;41035911;1724569146854113457;bostari;https://twitter.com/bostari/status/1724919560057635218
Wed Nov 15 22:32:05 +0000 2023;1724918220916654144;"@VIVAcoid Wah parah pak hasyim ini, berarti semua kandidat wakilnya prabowo yg tidak terpilih, terindikasi koruptor semua menurut dia. Atau dia lagi menuduh cak imin sama mahpud md terindikasi koruptor. Coba ngomong yg jelas pak hasyim jangan setengah setengah kaya orang lagi kumur kumur";0;2;1;7;in;891444866311348224;1724910790342504470;batawist;https://twitter.com/batawist/status/1724918220916654144
